species,decimalLongitude,decimalLatitude
Euphorbia attastoma,-36.1,-7.133333
Euphorbia attastoma,-36.172778,-7.200278
Euphorbia attastoma,-42.961389,-16.963611
Euphorbia attastoma,-44.198333,-17.69
Euphorbia attastoma,-43.095211,-16.834552
Euphorbia attastoma,-42.535556,-14.548333
Euphorbia attastoma,-42.537222,-14.213889
Euphorbia attastoma,-42.551389,-14.652222
Euphorbia attastoma,-42.534444,-14.531944
Euphorbia attastoma,-42.553056,-14.662778
Euphorbia attastoma,-42.543056,-14.689722
Euphorbia attastoma,-42.526667,-14.536111
Euphorbia attastoma,-43.017082,-16.89477
Euphorbia attastoma,-42.961389,-16.546944
Euphorbia attastoma,-42.898903,-16.560202
Euphorbia attastoma,-42.961886,-16.507297
Euphorbia attastoma,-42.54,-14.69
Euphorbia attastoma,-42.9,-16.56
Euphorbia attastoma,-42.73,-15.62
Euphorbia attastoma,-41.25,-16.05
Euphorbia attastoma,-44.2,-17.69
Euphorbia attastoma,-44.11,-17.41
Euphorbia attastoma,-42.44,-15.36
Euphorbia attastoma,-42.53,-16.33
Euphorbia attastoma,-42.32,-14.41
Euphorbia attastoma,-42.843333,-15.678611
Euphorbia attastoma,-42.725,-16.591667
Euphorbia attastoma,-42.734258,-15.609667
Euphorbia attastoma,-42.535,-14.53
Euphorbia attastoma,-42.901182,-16.589835
Euphorbia attastoma,-42.89175,-16.553573
Euphorbia attastoma,-41.251355,-16.052175
Euphorbia attastoma,-41.2,-16.13
Euphorbia attastoma,-42.981667,-16.643889
Euphorbia attastoma,-42.894444,-16.564722
Euphorbia attastoma,-41.278056,-13.813889
Euphorbia attastoma,-42.35,-16.25
Euphorbia attastoma,-42.530833,-14.534444
Euphorbia attastoma,-42.883333,-16.583333
Euphorbia attastoma,-42.991306,-16.902139
Euphorbia attastoma,-42.916667,-16.6
Euphorbia attastoma,-42.9925,-16.896111
Euphorbia attastoma,-42.949444,-16.604167
Euphorbia attastoma,-42.98155,-16.6439
Euphorbia attastoma,-41.2781,-13.8139
Euphorbia attastoma,-42.8944,-16.56475
Euphorbia attastoma,-42.535556,-14.531667
Euphorbia attastoma,-41.333333,-10.366667
Euphorbia attastoma,-42.883333,-16.55
Euphorbia attastoma,-44.266667,-17.683333
Euphorbia attastoma,-41.434722,-16.365278
Euphorbia attastoma,-42.78075,-16.113556
Euphorbia attastoma,-44,-18
Euphorbia attastoma,-42.537222,-14.358889
Euphorbia attastoma,-44.198528,-17.690028
Euphorbia attastoma,-42.889722,-16.559444
Euphorbia attastoma,-42.583333,-16.416667
Euphorbia attastoma,-42.733333,-15.6
Euphorbia attastoma,-42.766833,-16.524111
Euphorbia attastoma,-42.895833,-16.56
Euphorbia attastoma,-41.252258,-16.053625
Euphorbia attastoma,-42.54325,-14.689917
Euphorbia attastoma,-42.734875,-15.616111
Euphorbia attastoma,-42.897361,-16.555956
Euphorbia attastoma,-44.196211,-17.692247
