species,decimalLongitude,decimalLatitude
Lychnophora ericoides,-47.85,-15.866667
Lychnophora ericoides,-47.706167,-15.844306
Lychnophora ericoides,-48.25,-15.55
Lychnophora ericoides,-48.238889,-15.861389
Lychnophora ericoides,-46.526944,-20
Lychnophora ericoides,-47.891111,-15.9
Lychnophora ericoides,-47.845556,-15.871944
Lychnophora ericoides,-47.764361,-16.022111
Lychnophora ericoides,-47.847194,-15.870528
Lychnophora ericoides,-47.5625,-15.4375
Lychnophora ericoides,-47.736111,-14.1225
Lychnophora ericoides,-47.891667,-15.914722
Lychnophora ericoides,-43.94,-12.750278
Lychnophora ericoides,-46.35,-20.266667
Lychnophora ericoides,-43.899167,-18.587778
Lychnophora ericoides,-47,-14
Lychnophora ericoides,-47.948333,-15.975
Lychnophora ericoides,-48.1075,-15.554167
Lychnophora ericoides,-48.589722,-16.630278
Lychnophora ericoides,-48.589722,-16.63
Lychnophora ericoides,-43.681111,-18.342778
Lychnophora ericoides,-47.666667,-16.75
Lychnophora ericoides,-47.891111,-15.914444
Lychnophora ericoides,-47.930556,-15.6675
Lychnophora ericoides,-43.998056,-17.964167
Lychnophora ericoides,-44.303056,-18.221667
Lychnophora ericoides,-44.486389,-18.101111
Lychnophora ericoides,-44.484444,-18.153889
Lychnophora ericoides,-44.300833,-18.966111
Lychnophora ericoides,-47.683333,-17.523888
Lychnophora ericoides,-47.683333,-17.523889
Lychnophora ericoides,-47.683611,-17.524167
Lychnophora ericoides,-47.484722,-14.159167
Lychnophora ericoides,-42.52,-14.885
Lychnophora ericoides,-44.302861,-17.600972
Lychnophora ericoides,-43.764444,-17.834989
Lychnophora ericoides,-43.5675,-18.201111
Lychnophora ericoides,-43.648333,-18.250556
Lychnophora ericoides,-43.769722,-18.961389
Lychnophora ericoides,-43.5675,-18.202778
Lychnophora ericoides,-47.993889,-16.674722
Lychnophora ericoides,-47.890833,-15.914167
Lychnophora ericoides,-47.948611,-15.973611
Lychnophora ericoides,-47.541389,-13.640278
Lychnophora ericoides,-43.6025,-20.461556
Lychnophora ericoides,-43.584028000000004,-20.469167
Lychnophora ericoides,-47.941944,-15.660556
Lychnophora ericoides,-43.93,-18.588056
Lychnophora ericoides,-43.379167,-18.130556
Lychnophora ericoides,-43.594722,-20.208611
Lychnophora ericoides,-47.484722,-14.159166
Lychnophora ericoides,-43.583333,-19.333333
Lychnophora ericoides,-43.534611,-16.968611
Lychnophora ericoides,-48.461111,-17.761111
Lychnophora ericoides,-43.933389,-20.446111
Lychnophora ericoides,-43.683333,-20.466667
Lychnophora ericoides,-43.769445,-18.960833
Lychnophora ericoides,-42.808333,-15.22
Lychnophora ericoides,-41.383333,-13.383333
Lychnophora ericoides,-42.557778,-14.553611
Lychnophora ericoides,-42.575556,-14.574722
Lychnophora ericoides,-45.2,-18.2
Lychnophora ericoides,-42.808333,-15.803333
Lychnophora ericoides,-42.576389,-14.582778
Lychnophora ericoides,-43.533611,-16.982222
Lychnophora ericoides,-43.780278,-18.575833
Lychnophora ericoides,-44.181111,-17.727778
Lychnophora ericoides,-44.291111,-17.656389
Lychnophora ericoides,-44.286389,-17.691389
Lychnophora ericoides,-46.423645,-20.26048
Lychnophora ericoides,-47.94783,-15.975353
Lychnophora ericoides,-47.902754,-15.948052
Lychnophora ericoides,-43.670278,-19.116111
Lychnophora ericoides,-52.741667,-17.789444
Lychnophora ericoides,-43.691944,-20.0575
Lychnophora ericoides,-43.345556,-20.134722
Lychnophora ericoides,-48.664444,-17.789444
Lychnophora ericoides,-48.213333,-16.679167
Lychnophora ericoides,-47.683333,-16.824722
Lychnophora ericoides,-47.683333,-16.823889
Lychnophora ericoides,-48.214444,-16.679444
Lychnophora ericoides,-48.214444,-16.679167
Lychnophora ericoides,-47.695,-16.824167
Lychnophora ericoides,-47.883333,-15.783333
Lychnophora ericoides,-47.428889,-13.800833
Lychnophora ericoides,-47.953056,-15.971389
Lychnophora ericoides,-43.715424,-19.16988
Lychnophora ericoides,-47.518889,-14.136667
Lychnophora ericoides,-43.785125,-18.929695
Lychnophora ericoides,-48.888187,-15.842253
Lychnophora ericoides,-46.429253,-20.260318
Lychnophora ericoides,-47.466667,-20.25
Lychnophora ericoides,-46.85,-20.333333
Lychnophora ericoides,-46.333333,-20.683333
Lychnophora ericoides,-46.366667,-20.616667
Lychnophora ericoides,-43.95,-19.8
Lychnophora ericoides,-46.785,-20.335
Lychnophora ericoides,-43.935556,-18.608889
Lychnophora ericoides,-49.416667,-13.916667
Lychnophora ericoides,-47.683611,-17.524166
Lychnophora ericoides,-47.845555,-15.871944
Lychnophora ericoides,-47.836944,-15.9
Lychnophora ericoides,-40.835389,-20.128361
Lychnophora ericoides,-43.948056,-20.286111
Lychnophora ericoides,-46.787053,-20.342701
Lychnophora ericoides,-47.933333,-15.733333
Lychnophora ericoides,-47.809722,-14.165833
Lychnophora ericoides,-47.733333,-14.1
Lychnophora ericoides,-47.9925,-15.637222
Lychnophora ericoides,-47.809722,-14.166111
Lychnophora ericoides,-48.18,-14.852222
Lychnophora ericoides,-46.624167,-20.174444
Lychnophora ericoides,-42.482778,-15.915556
Lychnophora ericoides,-50.190833,-16.073889
Lychnophora ericoides,-48.670833,-17.799444
Lychnophora ericoides,-48.686944,-17.858889
Lychnophora ericoides,-48.213611,-16.330278
Lychnophora ericoides,-48.202778,-16.283056
Lychnophora ericoides,-48.278333,-12.361944
Lychnophora ericoides,-47.998611,-15.910833
Lychnophora ericoides,-47.948611,-15.974722
Lychnophora ericoides,-47.941111,-15.660833
Lychnophora ericoides,-48.829444,-15.737778
Lychnophora ericoides,-48.805833,-15.805
Lychnophora ericoides,-42.523889,-15.5525
Lychnophora ericoides,-48,-16
Lychnophora ericoides,-50,-14
Lychnophora ericoides,-47.701944,-14.116667
Lychnophora ericoides,-47.6,-16.822222
Lychnophora ericoides,-50.133333,-16.068889
Lychnophora ericoides,-46.664444,-20.171389
Lychnophora ericoides,-43.679167,-18.391111
Lychnophora ericoides,-43.98,-20.1
Lychnophora ericoides,-43.983611,-20.093056
Lychnophora ericoides,-47.950278,-16.252778
Lychnophora ericoides,-42.62,-15.33
Lychnophora ericoides,-42.47,-14.06
Lychnophora ericoides,-47.929444,-15.779722
Lychnophora ericoides,-43.937778,-19.920833
Lychnophora ericoides,-44.730556,-17.598333
Lychnophora ericoides,-43.600278,-18.249444
Lychnophora ericoides,-43.814722,-17.108056
Lychnophora ericoides,-47.65,-16.8
Lychnophora ericoides,-43.740556,-18.454444
Lychnophora ericoides,-50.001111,-16.061111
Lychnophora ericoides,-43.67,-18.33
Lychnophora ericoides,-48.856667,-15.85
Lychnophora ericoides,-43.655556,-18.445833
Lychnophora ericoides,-47.6,-16.858333
Lychnophora ericoides,-46.785278,-20.335
Lychnophora ericoides,-48,-17
Lychnophora ericoides,-42.483611,-15.916111
Lychnophora ericoides,-46.163333,-20.371111
Lychnophora ericoides,-48.401389,-17.473889
Lychnophora ericoides,-48,-15.52
Lychnophora ericoides,-48.164167,-12.214167
Lychnophora ericoides,-48.28,-17.37
Lychnophora ericoides,-48.125,-16.195
Lychnophora ericoides,-48.400278,-17.463611
Lychnophora ericoides,-48.121389,-16.170833
Lychnophora ericoides,-43.371667,-18.121944
Lychnophora ericoides,-43.3675,-18.105278
Lychnophora ericoides,-48.550833,-15.453889
Lychnophora ericoides,-43.964196,-20.217708
Lychnophora ericoides,-43.960556,-20.09
Lychnophora ericoides,-46.418611,-20.254444
Lychnophora ericoides,-42.575278,-14.755
Lychnophora ericoides,-43.571278,-16.9725
Lychnophora ericoides,-46.038611,-20.666111
Lychnophora ericoides,-46.221944,-20.641389
Lychnophora ericoides,-46.436667,-20.179444
Lychnophora ericoides,-43.680306,-18.363611
Lychnophora ericoides,-43.699167,-19.1175
Lychnophora ericoides,-44,-18
Lychnophora ericoides,-42.781944,-16.119722
Lychnophora ericoides,-43.894444,-20.113611
Lychnophora ericoides,-43.430278,-20.151111
Lychnophora ericoides,-43.417222,-20.134444
Lychnophora ericoides,-43.439167,-20.16
Lychnophora ericoides,-47.555556,-14.885
Lychnophora ericoides,-46.635191,-20.237497
Lychnophora ericoides,-43.731389,-20.103056
Lychnophora ericoides,-41.966667,-13.533333
Lychnophora ericoides,-43.563333,-16.963611
Lychnophora ericoides,-46.625167,-20.230972
Lychnophora ericoides,-43.96195,-20.114447
Lychnophora ericoides,-43.910833,-20.108361
Lychnophora ericoides,-43.712222,-20.483889
Lychnophora ericoides,-43.549917,-16.961333
Lychnophora ericoides,-43.764444,-17.849889
Lychnophora ericoides,-43.612222,-18.261667
Lychnophora ericoides,-46.275833,-20.62
Lychnophora ericoides,-43.773611,-19.004444
Lychnophora ericoides,-47.6,-16.82229
Lychnophora ericoides,-47.9507752,-16.2565305
Lychnophora ericoides,-50.001220000000004,-16.0611
Lychnophora ericoides,-47.9298727,-15.7834208
Lychnophora ericoides,-43.9380146,-19.9246081
Lychnophora ericoides,-43.6004898,-18.2531773
Lychnophora ericoides,-43.6557937,-18.449581
Lychnophora ericoides,-50.1333,-16.06885
Lychnophora ericoides,-47.70192,-14.1167
Lychnophora ericoides,-42.5756,-14.7581
Lychnophora ericoides,-43.6791,-18.3912
Lychnophora ericoides,-44.7308645,-17.6020633
Lychnophora ericoides,-43.7407994,-18.4581811
Lychnophora ericoides,-48.85664,-15.85
Lychnophora ericoides,-47.6504567,-16.8037422
Lychnophora ericoides,-47.6,-16.85843
Lychnophora ericoides,-43.8149029,-17.1118546
Lychnophora ericoides,-42.482777,-15.915555
Lychnophora ericoides,-50.190833,-16.073888
Lychnophora ericoides,-43.329611,-16.593806
Lychnophora ericoides,-48.664444,-17.789167
Lychnophora ericoides,-43,-16
Lychnophora ericoides,-43.938056,-19.921389
Lychnophora ericoides,-52.741667,-17.789167
Lychnophora ericoides,-43.6786,-18.4302
Lychnophora ericoides,-46.474722,-20.210833
Lychnophora ericoides,-46.624166,-20.174444
Lychnophora ericoides,-46.626666,-20.233888
Lychnophora ericoides,-48,-15.86667
Lychnophora ericoides,-46.426979,-20.257072
Lychnophora ericoides,-46.745,-19.820833
Lychnophora ericoides,-46.446389,-20.243333
Lychnophora ericoides,-44.175278,-18.608889
Lychnophora ericoides,-43.166667,-17.655
Lychnophora ericoides,-47.45,-14.133333
Lychnophora ericoides,-43.983333,-20.016667
Lychnophora ericoides,-43.9836,-20.0931
Lychnophora ericoides,-46.6644,-20.1714
Lychnophora ericoides,-43.679167,-18.360278
Lychnophora ericoides,-43.003333,-16.566111
Lychnophora ericoides,-44.25,-17.883333
Lychnophora ericoides,-47.653694,-14.159111
Lychnophora ericoides,-46.756389,-20.367778
Lychnophora ericoides,-46.871111,-20.281111
Lychnophora ericoides,-46.653611,-20.434444
Lychnophora ericoides,-43.005778,-16.410667
Lychnophora ericoides,-43.086944,-16.746389
Lychnophora ericoides,-43.322611,-16.539694
Lychnophora ericoides,-43.186694,-16.569806
Lychnophora ericoides,-43.948889,-18.600833
Lychnophora ericoides,-46.801611,-20.350333
Lychnophora ericoides,-43.69825,-18.420361
Lychnophora ericoides,-42.883333,-16.55
Lychnophora ericoides,-48.667222,-17.776667
Lychnophora ericoides,-43.621111,-18.181667
Lychnophora ericoides,-47.64005,-16.724611
Lychnophora ericoides,-43.46666,-20.1
Lychnophora ericoides,-47.949167,-15.976389
Lychnophora ericoides,-44.302861,-17.609722
Lychnophora ericoides,-44.298278,-17.560333
Lychnophora ericoides,-45.44222,-18.78778
Lychnophora ericoides,-49.56972,-15.81194
Lychnophora ericoides,-53.08972,-10.77306
Lychnophora ericoides,-47.316667,-15.483333
Lychnophora ericoides,-42.523888,-15.5525
Lychnophora ericoides,-48.829444,-15.737777
Lychnophora ericoides,-48.686944,-17.858888
Lychnophora ericoides,-48.278888,-16.325555
Lychnophora ericoides,-48.202777,-16.283055
Lychnophora ericoides,-48.213611,-16.330277
Lychnophora ericoides,-48.20389,-16.28583
Lychnophora ericoides,-48.46667,-17.61667
Lychnophora ericoides,-48.01667,-15.91667
Lychnophora ericoides,-48.461111,-17.76111
Lychnophora ericoides,-42.575556,-14.758056
Lychnophora ericoides,-42.576389,-14.749444
Lychnophora ericoides,-41.383333,-13.55
Lychnophora ericoides,-45.2,-18.45
Lychnophora ericoides,-48.918889,-15.760556
Lychnophora ericoides,-48.670833,-17.793889
Lychnophora ericoides,-43.621111,-18.205556
Lychnophora ericoides,-48.910278,-15.793333
Lychnophora ericoides,-48,-15.866667
Lychnophora ericoides,-48.203889,-16.285833
Lychnophora ericoides,-48.466667,-17.616667
Lychnophora ericoides,-43.541111,-20.462778
Lychnophora ericoides,-47.683333,-16.824444
Lychnophora ericoides,-48.214167,-16.679444
Lychnophora ericoides,-48.214167,-16.679167
Lychnophora ericoides,-48.213056,-16.678889
Lychnophora ericoides,-47.416667,-13.916667
Lychnophora ericoides,-43.957528,-18.600889
Lychnophora ericoides,-47.138111,-20.537333
Lychnophora ericoides,-46.038333,-20.666111
Lychnophora ericoides,-46.08555,-21.028475
Lychnophora ericoides,-46.289167,-20.593333
Lychnophora ericoides,-46.289722,-20.5925
Lychnophora ericoides,-44.293889,-17.699722
Lychnophora ericoides,-43.901389,-20.099444
Lychnophora ericoides,-43.956111,-20.095556
Lychnophora ericoides,-43.605278,-20.192222
Lychnophora ericoides,-43.790694,-18.413778
Lychnophora ericoides,-43.586944,-20.248611
Lychnophora ericoides,-42.616667,-15.333333
Lychnophora ericoides,-43.645,-18.258056
Lychnophora ericoides,-43.983333,-20.1
Lychnophora ericoides,-48.249444,-15.626667
Lychnophora ericoides,-43.709444,-19.049444
