species,decimalLongitude,decimalLatitude
Oxalis laciniata,-71.99,-51.61
Oxalis laciniata,-70.893548,-52.745228
Oxalis laciniata,-72.87765,-51.026812
Oxalis laciniata,-72.201478,-50.306053
Oxalis laciniata,-70.936275,-46.871397
Oxalis laciniata,-71.536844,-46.741258
Oxalis laciniata,-72.429548,-51.69199
Oxalis laciniata,-72.875733,-51.024997
Oxalis laciniata,-72.885612,-51.030839
Oxalis laciniata,-73,-51
Oxalis laciniata,-68.115917,-53.670552
Oxalis laciniata,-71.75996,-46.725719
Oxalis laciniata,-71.065615,-52.665492
Oxalis laciniata,-72.405878,-50.809489
Oxalis laciniata,-70.765505,-52.582846
Oxalis laciniata,-67.69422,-49.263819
Oxalis laciniata,-70.626971,-47.137948
Oxalis laciniata,-72.20115,-50.307525
Oxalis laciniata,-70.689365,-47.025511
Oxalis laciniata,-72.798105,-51.017143
Oxalis laciniata,-70.322307,-52.298485
Oxalis laciniata,-68.120478,-53.678843
Oxalis laciniata,-70.091763,-52.572026
Oxalis laciniata,-71.192752,-47.240419
Oxalis laciniata,-71.137418,-47.148708
Oxalis laciniata,-69.425228,-52.489301
Oxalis laciniata,-71.22476,-53.006904
Oxalis laciniata,-71.061425,-49.034746
Oxalis laciniata,-71.275948,-49.142966
Oxalis laciniata,-69.706589,-52.112329
Oxalis laciniata,-72.88327,-51.03035
Oxalis laciniata,-70.670603,-47.15061
Oxalis laciniata,-67.93,-54.04
Oxalis laciniata,-72.09,-49.76
Oxalis laciniata,-72.607511,-51.581732
Oxalis laciniata,-65.959311,-47.737016
Oxalis laciniata,-68.768921,-49.466339
Oxalis laciniata,-72.24415,-50.362224
Oxalis laciniata,-69.216829,-51.62288
Oxalis laciniata,-65.846558,-47.745095
Oxalis laciniata,-71.021134,-50.287973
Oxalis laciniata,-72.156303,-50.130325
Oxalis laciniata,-72.749444,-50.975556
Oxalis laciniata,-71.75782,-46.730892
Oxalis laciniata,-72.484063,-50.932093
Oxalis laciniata,-72.158975,-50.130372
Oxalis laciniata,-72.122279,-50.114977
Oxalis laciniata,-72.159364,-50.130828
Oxalis laciniata,-71.757736,-46.730999
Oxalis laciniata,-72.279978,-50.34853
Oxalis laciniata,-72.28003,-50.348637
Oxalis laciniata,-72.900038,-51.034275
Oxalis laciniata,-70.653632,-47.144572
Oxalis laciniata,-72.910217,-51.041156
Oxalis laciniata,-68.434815,-53.602538
Oxalis laciniata,-65.92836,-47.750549
Oxalis laciniata,-66.43244,-47.803591
Oxalis laciniata,-68.109291,-53.629348
Oxalis laciniata,-69.20498,-51.647354
Oxalis laciniata,-71.325958,-52.477158
Oxalis laciniata,-72.342728,-50.405083
Oxalis laciniata,-67.846643,-53.69204
Oxalis laciniata,-72.150269,-50.130489
Oxalis laciniata,-72.279595,-50.349555
Oxalis laciniata,-72.588939,-50.320228
Oxalis laciniata,-72.279572,-50.349758
Oxalis laciniata,-72.289712,-50.363588
Oxalis laciniata,-72.346603,-50.393545
Oxalis laciniata,-72.215588,-51.627834
Oxalis laciniata,-72.79719,-51.008731
Oxalis laciniata,-72.727405,-50.400093
Oxalis laciniata,-70.051947,-43.714836
Oxalis laciniata,-69.149816,-50.272223
Oxalis laciniata,-67.613541,-48.061768
Oxalis laciniata,-72.058624,-49.9044
Oxalis laciniata,-72.659041,-50.831157
Oxalis laciniata,-72.825439,-51.027836
Oxalis laciniata,-72.80313,-51.017522
Oxalis laciniata,-67.971667,-45.823611
Oxalis laciniata,-70.048889,-43.715278
Oxalis laciniata,-71.674444,-48.0775
Oxalis laciniata,-70.688611,-46.978056
Oxalis laciniata,-68.84537,-49.929722
Oxalis laciniata,-68.906667,-50.155556
Oxalis laciniata,-72.2831,-50.9376
Oxalis laciniata,-72.731764,-50.983391
Oxalis laciniata,-70.644174,-48.645953
Oxalis laciniata,-68.39,-48.86
Oxalis laciniata,-71.56472,-53.49278
Oxalis laciniata,-67.64056,-45.59389
Oxalis laciniata,-67.92861,-49.47667
Oxalis laciniata,-68.89389,-50.3475
Oxalis laciniata,-69.15056,-50.24667
Oxalis laciniata,-69.51883,-51.15886
Oxalis laciniata,-67.84667,-53.69111
Oxalis laciniata,-70.55333,-51.13306
Oxalis laciniata,-71.98972,-51.60972
Oxalis laciniata,-72.23361,-50.83389
Oxalis laciniata,-72.26778,-50.37889
