species,decimalLongitude,decimalLatitude
Pitcairnia lanuginosa,-48.961739,-15.709881
Pitcairnia lanuginosa,-58.089722,-8.903333
Pitcairnia lanuginosa,-54.989444,-18.840278
Pitcairnia lanuginosa,-54.844444,-16.522778
Pitcairnia lanuginosa,-57.202972,-15.637639
Pitcairnia lanuginosa,-47.160556,-6.391667
Pitcairnia lanuginosa,-46.645885,-12.899547
Pitcairnia lanuginosa,-46.659228,-12.934503
Pitcairnia lanuginosa,-55.624133,-20.450703
Pitcairnia lanuginosa,-54.989444,-18.840277
Pitcairnia lanuginosa,-54.844444,-16.522777
Pitcairnia lanuginosa,-55.602222,-10.960833
Pitcairnia lanuginosa,-55.918333,-9.584167
Pitcairnia lanuginosa,-55.916667,-9.586667
Pitcairnia lanuginosa,-55.916111,-9.578889
Pitcairnia lanuginosa,-56.795,-9.340833
Pitcairnia lanuginosa,-67.866667,-16.3
Pitcairnia lanuginosa,-67.633333,-15.966667
Pitcairnia lanuginosa,-67.733333,-16.233333
Pitcairnia lanuginosa,-48.048611,-15.481944
Pitcairnia lanuginosa,-50.140278,-15.934444
Pitcairnia lanuginosa,-46.318333,-13.398333
Pitcairnia lanuginosa,-48.3875,-14.370556
Pitcairnia lanuginosa,-47.796667,-14.166667
Pitcairnia lanuginosa,-47.887778,-15.793889
Pitcairnia lanuginosa,-48.621111,-17.743333
Pitcairnia lanuginosa,-50.336944,-6.283611
Pitcairnia lanuginosa,-50.353333,-6.332778
Pitcairnia lanuginosa,-49.906389,-6.2975
Pitcairnia lanuginosa,-50.270556,-6.04
Pitcairnia lanuginosa,-57.202778,-15.6375
Pitcairnia lanuginosa,-75.56666,-10.18333
Pitcairnia lanuginosa,-67.06666,-15.26666
Pitcairnia lanuginosa,-67.970833,-14.349167
Pitcairnia lanuginosa,-66.141389,-16.558889
Pitcairnia lanuginosa,-75.56666,-10.16666
Pitcairnia lanuginosa,-65.533333,-17.083333
Pitcairnia lanuginosa,-68.453056,-15.039167
Pitcairnia lanuginosa,-67.91666,-14.15
Pitcairnia lanuginosa,-67.75,-16.16666
Pitcairnia lanuginosa,-75.53333,-10.08333
Pitcairnia lanuginosa,-67.530556,-14.442222
Pitcairnia lanuginosa,-67.501667,-14.55
Pitcairnia lanuginosa,-75.16666,-10.63333
Pitcairnia lanuginosa,-60.383333,-14.816667
Pitcairnia lanuginosa,-60.020278,-14.932222
Pitcairnia lanuginosa,-75.566667,-10.183333
Pitcairnia lanuginosa,-48.961667,-15.71
Pitcairnia lanuginosa,-53.798889,-16.073889
Pitcairnia lanuginosa,-47.656389,-11.526111
Pitcairnia lanuginosa,-43.669722,-19.88
Pitcairnia lanuginosa,-47.843056,-13.634444
Pitcairnia lanuginosa,-65.628889,-17.143889
Pitcairnia lanuginosa,-67.65,-16.033333
Pitcairnia lanuginosa,-47.840833,-14.193889
Pitcairnia lanuginosa,-48.186389,-16.2675
Pitcairnia lanuginosa,-64.669167,-9.273056
Pitcairnia lanuginosa,-51.156389,-6.509167
Pitcairnia lanuginosa,-48.616667,-3.416667
Pitcairnia lanuginosa,-50.166667,-8.05
Pitcairnia lanuginosa,-48.600833,-8.500556
Pitcairnia lanuginosa,-49.853056,-15.933333
Pitcairnia lanuginosa,-48.05,-16.03
Pitcairnia lanuginosa,-47.595278,-14.04
Pitcairnia lanuginosa,-50.17,-8.05
Pitcairnia lanuginosa,-50.17,-6.07
Pitcairnia lanuginosa,-58.542778,-8.971667
Pitcairnia lanuginosa,-52.23,-15.28
Pitcairnia lanuginosa,-67.771667,-16.359444
Pitcairnia lanuginosa,-50,-14
Pitcairnia lanuginosa,-50.166667,-6.066667
Pitcairnia lanuginosa,-51.810278,-16.956944
Pitcairnia lanuginosa,-47.43,-15.3
Pitcairnia lanuginosa,-48.781944,-15.85
Pitcairnia lanuginosa,-49.465,-18.969167
Pitcairnia lanuginosa,-55.602222,-10.961111
Pitcairnia lanuginosa,-55.705,-14.494722
Pitcairnia lanuginosa,-37.894722,-9.518333
Pitcairnia lanuginosa,-37.893056,-9.505833
Pitcairnia lanuginosa,-46.003056,-6.956389
Pitcairnia lanuginosa,-71.97,-11.6
Pitcairnia lanuginosa,-55.331389,-19.697778
Pitcairnia lanuginosa,-79.9106,8.5714
Pitcairnia lanuginosa,-43.663889,-20.390833
Pitcairnia lanuginosa,-63.646944,-10.617222
Pitcairnia lanuginosa,-54.565,-9.199722
Pitcairnia lanuginosa,-46.3875,-21.923056
Pitcairnia lanuginosa,-55.698055,-20.363333
Pitcairnia lanuginosa,-54.891667,-17.620278
Pitcairnia lanuginosa,-55.683333,-20.331667
Pitcairnia lanuginosa,-55.826667,-15.410833
Pitcairnia lanuginosa,-37.893055,-9.518611
Pitcairnia lanuginosa,-63.87,-17.55
Pitcairnia lanuginosa,-67.8269,-14.97
Pitcairnia lanuginosa,-63.42,-17.68
Pitcairnia lanuginosa,-67.7717,-16.3594
Pitcairnia lanuginosa,-78.3514,-6.1519
Pitcairnia lanuginosa,-63.5986,-17.60403
Pitcairnia lanuginosa,-68.6417,-18.1292
Pitcairnia lanuginosa,-66.1414,-16.5589
Pitcairnia lanuginosa,-49.85311,-15.9333
Pitcairnia lanuginosa,-51.8110306,-16.9606332
Pitcairnia lanuginosa,-48.78195,-15.85
Pitcairnia lanuginosa,-47.595278,-14.04001
Pitcairnia lanuginosa,-49.4655833,-18.9729787
Pitcairnia lanuginosa,-68.4172,-14.72
Pitcairnia lanuginosa,-48.6008,-8.5006
Pitcairnia lanuginosa,-49.889444,-6.31
Pitcairnia lanuginosa,-44,-20
Pitcairnia lanuginosa,-62.903889,-9.2725
Pitcairnia lanuginosa,-37.894603,-9.518217
Pitcairnia lanuginosa,-37.893056,-9.505944
Pitcairnia lanuginosa,-43.327778,-19.435
Pitcairnia lanuginosa,-61.9,-10.117778
Pitcairnia lanuginosa,-48.62,-3.42
Pitcairnia lanuginosa,-74.14,-9.1839
Pitcairnia lanuginosa,-52.8731,-10.8339
Pitcairnia lanuginosa,-76.516724,-6.42054
Pitcairnia lanuginosa,-53.693889,-14.477778
Pitcairnia lanuginosa,-50.181944,-16.071389
Pitcairnia lanuginosa,-63.081389,-9.198055
Pitcairnia lanuginosa,-48.768056,-15.841667
Pitcairnia lanuginosa,-47.471944,-13.956944
Pitcairnia lanuginosa,-48.824722,-15.804167
Pitcairnia lanuginosa,-50.189444,-16.078333
Pitcairnia lanuginosa,-47.455278,-13.810278
Pitcairnia lanuginosa,-47.4375,-13.935
Pitcairnia lanuginosa,-48.901667,-15.795
Pitcairnia lanuginosa,-43.542222,-20.493055
Pitcairnia lanuginosa,-43.651389,-20.390833
Pitcairnia lanuginosa,-55.215556,-9.667222
Pitcairnia lanuginosa,-47.699167,-11.656389
Pitcairnia lanuginosa,-47.701944,-11.692778
Pitcairnia lanuginosa,-75.25,-11.2
Pitcairnia lanuginosa,-63.666667,-17.733333
Pitcairnia lanuginosa,-75.33333,-11.13333
Pitcairnia lanuginosa,-65.62888,-17.14388
Pitcairnia lanuginosa,-75.06666,-10.53333
Pitcairnia lanuginosa,-71.1,-10.066667
Pitcairnia lanuginosa,-78.78277,-5.37944
Pitcairnia lanuginosa,-78.36861,-5.26555
Pitcairnia lanuginosa,-63.2,-17.74166
Pitcairnia lanuginosa,-78.35138,-6.15194
Pitcairnia lanuginosa,-63.66666,-17.45
Pitcairnia lanuginosa,-78.3514,-6.15194
Pitcairnia lanuginosa,-71.1,-10.07
Pitcairnia lanuginosa,-76.8333,-7
Pitcairnia lanuginosa,-70.639074,-11.849152
Pitcairnia lanuginosa,-42.321667,-13.734444
Pitcairnia lanuginosa,-47.840833,-14.193888
Pitcairnia lanuginosa,-64.669166,-9.273055
Pitcairnia lanuginosa,-48.186388,-16.2675
Pitcairnia lanuginosa,-48.31667,-14.03333
Pitcairnia lanuginosa,-34.863056,-7.115
Pitcairnia lanuginosa,-47.950278,-16.2525
Pitcairnia lanuginosa,-48.959167,-15.8525
Pitcairnia lanuginosa,-47.978611,-16.065833
Pitcairnia lanuginosa,-48.62,-3.416667
Pitcairnia lanuginosa,-75.31778,-11.03556
Pitcairnia lanuginosa,-75.11694,-10.67333
Pitcairnia lanuginosa,-75.10806,-10.85306
Pitcairnia lanuginosa,-55.49556,-20.45972
Pitcairnia lanuginosa,-55.15472,-19.90306
Pitcairnia lanuginosa,-53.06222,-18.58583
Pitcairnia lanuginosa,-48.90694,-15.79333
Pitcairnia lanuginosa,-55.71528,-15.42917
Pitcairnia lanuginosa,-54.76056,-18.48306
Pitcairnia lanuginosa,-54.79528,-16.51806
Pitcairnia lanuginosa,-48.00528,-18.96806
Pitcairnia lanuginosa,-50.19194,-16.07889
Pitcairnia lanuginosa,-47.69944,-11.65667
Pitcairnia lanuginosa,-48.14028,-10.30306
Pitcairnia lanuginosa,-48.57528,-8.485
Pitcairnia lanuginosa,-48.46611,-6.23278
Pitcairnia lanuginosa,-48.04861,-15.48194
Pitcairnia lanuginosa,-43.19778,-19.11111
Pitcairnia lanuginosa,-43.5425,-20.49333
Pitcairnia lanuginosa,-43.82694,-19.90889
Pitcairnia lanuginosa,-44.16528,-21.10028
Pitcairnia lanuginosa,-47.79056,-14.18444
