species,decimalLongitude,decimalLatitude
Richterago discoidea,-41.816667,-13.483333
Richterago discoidea,-41.9,-13.116667
Richterago discoidea,-41.266667,-13.7
Richterago discoidea,-41.9,-13.533333
Richterago discoidea,-42.366667,-13.833333
Richterago discoidea,-41.3,-13.7
Richterago discoidea,-41.9,-13.266667
Richterago discoidea,-41.75,-13.15
Richterago discoidea,-41.933334,-13.533333
Richterago discoidea,-41.883334,-12.383333
Richterago discoidea,-41.466667,-12.45
Richterago discoidea,-41.433333,-12.45
Richterago discoidea,-41.483333,-12.6
Richterago discoidea,-41.883334,-13.05
Richterago discoidea,-41.5,-12.533333
Richterago discoidea,-41.883334,-13.283333
Richterago discoidea,-41.95,-13.55
Richterago discoidea,-41.3,-13.583333
Richterago discoidea,-41.85,-13.3
Richterago discoidea,-41.466667,-12.466667
Richterago discoidea,-41.316667,-12.9
Richterago discoidea,-41.816667,-13.583333
Richterago discoidea,-41.85,-13.316667
Richterago discoidea,-43.601389,-19.286667
Richterago discoidea,-43.674167,-19.101389
Richterago discoidea,-42.485278,-13.638056
Richterago discoidea,-41.313056,-12.963889
Richterago discoidea,-43.703056,-18.199167
Richterago discoidea,-41.47,-12.460278
Richterago discoidea,-41.491388,-12.792222
Richterago discoidea,-44.3875,-18.525833
Richterago discoidea,-43.491389,-18.271389
Richterago discoidea,-44.645,-18.207778
Richterago discoidea,-43.908889,-18.454722
Richterago discoidea,-44.182222,-18.629722
Richterago discoidea,-43.559167,-18.506944
Richterago discoidea,-41.948056,-13.514722
Richterago discoidea,-43.581667,-18.198889
Richterago discoidea,-44.323056,-18.029722
Richterago discoidea,-43.728889,-18.664722
Richterago discoidea,-44.330556,-18.100278
Richterago discoidea,-41.794167,-17.476111
Richterago discoidea,-41.343056,-12.998333
Richterago discoidea,-41.910556,-13.535
Richterago discoidea,-41.938333,-13.934167
Richterago discoidea,-41.5,-12.5
Richterago discoidea,-41.85,-13.85
Richterago discoidea,-41.883333,-13.883333
Richterago discoidea,-41.9,-13.9
Richterago discoidea,-41.45,-12.45
Richterago discoidea,-41.383333,-12.383333
Richterago discoidea,-42.569722,-14.569167
Richterago discoidea,-41.323889,-12.321389
Richterago discoidea,-41.85,-13.859722
Richterago discoidea,-41.346944,-12.348333
Richterago discoidea,-41.3,-13.3
Richterago discoidea,-41.223056,-13.228333
Richterago discoidea,-41.831944,-13.826111
Richterago discoidea,-41.933333,-13.933333
Richterago discoidea,-43.733333,-18.733333
Richterago discoidea,-41.376944,-13.366944
Richterago discoidea,-41.855556,-13.855556
Richterago discoidea,-41.851111,-13.861944
Richterago discoidea,-42.547778,-14.538056
Richterago discoidea,-41.438333,-13.441111
Richterago discoidea,-41.506944,-12.506944
Richterago discoidea,-41.839444,-13.840278
Richterago discoidea,-41.348056,-13.347222
Richterago discoidea,-41.889444,-12.889444
Richterago discoidea,-41.760833,-13.750278
Richterago discoidea,-42.366667,-13.366667
Richterago discoidea,-41.416667,-12.416667
Richterago discoidea,-41.834722,-13.845278
Richterago discoidea,-41.886389,-13.894167
Richterago discoidea,-42.098333,-13.087778
Richterago discoidea,-43.7425,-18.872222
Richterago discoidea,-41.875556,-13.546389
Richterago discoidea,-43.490256,-20.258883
Richterago discoidea,-43.883333,-20.1225
Richterago discoidea,-41.933333,-13.948611
Richterago discoidea,-41.841111,-12.844722
Richterago discoidea,-41.308333,-13.302778
Richterago discoidea,-43.8275,-17.913333
Richterago discoidea,-43.434444,-18.395278
Richterago discoidea,-43.539167,-18.271667
Richterago discoidea,-43.288889,-18.161667
Richterago discoidea,-43.333333,-18.3025
Richterago discoidea,-43.788333,-18.014722
Richterago discoidea,-43.795,-18.056111
Richterago discoidea,-43.556667,-18.203056
Richterago discoidea,-43.705556,-18.374722
Richterago discoidea,-43.737778,-18.296111
Richterago discoidea,-41.941667,-13.535
Richterago discoidea,-41.893333,-13.291667
Richterago discoidea,-43.598472,-18.201361
Richterago discoidea,-43.346666,-18.462778
Richterago discoidea,-43.783889,-17.912778
Richterago discoidea,-41.468056,-12.454722
Richterago discoidea,-41.861111,-13.328611
Richterago discoidea,-48.016667,-15.55
Richterago discoidea,-48.016667,-15.883333
Richterago discoidea,-47.953056,-15.971389
Richterago discoidea,-44.167778,-21.086111
Richterago discoidea,-45.899444,-20.440556
Richterago discoidea,-41.3,-13.58333
Richterago discoidea,-41.3667,-13
Richterago discoidea,-41.813444,-13.580844
Richterago discoidea,-41.183333,-13.345556
Richterago discoidea,-40.519722,-11.397222
Richterago discoidea,-43.741389,-20.127778
Richterago discoidea,-43.4,-20.366667
Richterago discoidea,-43.5,-20.283333
Richterago discoidea,-43.517222,-19.256667
Richterago discoidea,-41.289167,-13.681111
Richterago discoidea,-41.472222,-12.958611
Richterago discoidea,-41.743055,-13.2775
Richterago discoidea,-41.477778,-12.458333
Richterago discoidea,-44.2,-22.316667
Richterago discoidea,-43.729444,-19.2475
Richterago discoidea,-43.706667,-18.199722
Richterago discoidea,-41.743056,-13.2775
Richterago discoidea,-41.337222,-13.679444
Richterago discoidea,-41.378056,-13.007222
Richterago discoidea,-41.829167,-13.451111
Richterago discoidea,-41.883611,-13.061944
Richterago discoidea,-44.191389,-21.103611
Richterago discoidea,-44.191389,-21.103333
Richterago discoidea,-44.933333,-21.716667
Richterago discoidea,-41.961667,-13.524722
Richterago discoidea,-41.308333,-13.686111
Richterago discoidea,-43.599167,-18.186389
Richterago discoidea,-43.471944,-18.488333
Richterago discoidea,-43.945278,-20.295
Richterago discoidea,-42.890556,-16.539167
Richterago discoidea,-48.015,-15.904167
Richterago discoidea,-48.008056,-15.899444
Richterago discoidea,-46.441944,-11.613333
Richterago discoidea,-47.936667,-15.663333
Richterago discoidea,-47.993333,-15.638056
Richterago discoidea,-43.391944,-18.431944
Richterago discoidea,-42.889444,-16.559444
Richterago discoidea,-41.48,-12.6
Richterago discoidea,-41.558889,-12.529167
Richterago discoidea,-47.929444,-15.779722
Richterago discoidea,-43.492778,-20.126389
Richterago discoidea,-41.27,-13.7
Richterago discoidea,-41.9,-13.53
Richterago discoidea,-41.3,-13.58
Richterago discoidea,-41.345278,-13.001389
Richterago discoidea,-41.440278,-12.459722
Richterago discoidea,-42.78,-16.53
Richterago discoidea,-41.471389,-12.458611
Richterago discoidea,-41.341389,-12.992222
Richterago discoidea,-42.5025,-14.683333
Richterago discoidea,-41.883333,-13.283333
Richterago discoidea,-43.335556,-18.120833
Richterago discoidea,-43.733333,-18.25
Richterago discoidea,-41.889444,-12.389444
Richterago discoidea,-42.916667,-16.6
Richterago discoidea,-41.938333,-13.084167
Richterago discoidea,-42.783333,-16.533333
Richterago discoidea,-43.355278,-18.120556
Richterago discoidea,-41.938889,-13.519722
Richterago discoidea,-43.713056,-17.89
Richterago discoidea,-41.344167,-12.998889
Richterago discoidea,-43.401667,-18.303056
Richterago discoidea,-41.470833,-12.472222
Richterago discoidea,-43.71,-18.373889
Richterago discoidea,-41.470833,-12.455556
Richterago discoidea,-41.93,-13.53
Richterago discoidea,-43.434167,-18.074444
Richterago discoidea,-43.470833,-19.544167
Richterago discoidea,-43.423611,-18.2225
Richterago discoidea,-41.9,-13.27
Richterago discoidea,-41.9,-13.12
Richterago discoidea,-41.88,-13.28
Richterago discoidea,-41.860278,-13.082778
Richterago discoidea,-41.472222,-12.45
Richterago discoidea,-43.73,-18.25
Richterago discoidea,-41.4,-13.003333
Richterago discoidea,-41.85,-13.32
Richterago discoidea,-42.37,-13.83
Richterago discoidea,-41.38,-12.57
Richterago discoidea,-41.233611,-13.404722
Richterago discoidea,-41.933333,-13.533333
Richterago discoidea,-41.956944,-13.513056
Richterago discoidea,-41.760833,-13.150278
Richterago discoidea,-41.266667,-13.35
Richterago discoidea,-42.895,-16.55
Richterago discoidea,-43.508056,-20.287778
Richterago discoidea,-46.597778,-10.596667
Richterago discoidea,-43.589167,-18.219444
Richterago discoidea,-43.384722,-18.104444
Richterago discoidea,-43.353889,-18.1225
Richterago discoidea,-43.355556,-18.120556
Richterago discoidea,-41.18,-13.42
Richterago discoidea,-43.335556,-18.128611
Richterago discoidea,-43.345278,-18.115556
Richterago discoidea,-43.478056,-19.544167
Richterago discoidea,-41.841111,-12.311389
Richterago discoidea,-44.457458,-21.217894
Richterago discoidea,-44.507036,-21.257264
Richterago discoidea,-44.496861,-21.238464
Richterago discoidea,-41.9,-13.53333
Richterago discoidea,-42.78333,-16.53333
Richterago discoidea,-41.93333,-13.53333
Richterago discoidea,-41.05,-16.36667
Richterago discoidea,-41.48333,-12.6
Richterago discoidea,-43.705,-18.2
Richterago discoidea,-42.688333,-13.7
Richterago discoidea,-41.868333,-13.0575
Richterago discoidea,-43.705,-20.481667
Richterago discoidea,-41.484444,-12.776667
Richterago discoidea,-43.505,-18.473889
Richterago discoidea,-45.899444,-20.440555
Richterago discoidea,-41.478369,-12.459479
Richterago discoidea,-48.069722,-15.921667
Richterago discoidea,-47.938333,-15.974722
Richterago discoidea,-39.886667,-13.283333
Richterago discoidea,-43.7286,-18.1292
Richterago discoidea,-43.6711,-18.5083
Richterago discoidea,-43.3467,-18.4628
Richterago discoidea,-43.5511,-18.3711
Richterago discoidea,-41.553889,-13.5675
Richterago discoidea,-43.690833,-20.080278
Richterago discoidea,-41.933333,-13.531944
Richterago discoidea,-41.933333,-13.5
Richterago discoidea,-43.5725,-18.197222
Richterago discoidea,-43.391944,-18.43185
Richterago discoidea,-42.8895409,-16.5631442
Richterago discoidea,-43.492778,-20.1263
Richterago discoidea,-47.9298727,-15.7834208
Richterago discoidea,-41.3453,-13.0014
Richterago discoidea,-43.5082859,-20.2916152
Richterago discoidea,-43.508849,-20.130068
Richterago discoidea,-41.5589516,-12.5328554
Richterago discoidea,-48.008055,-15.899444
Richterago discoidea,-43.343333,-18.265556
Richterago discoidea,-42.576111,-14.758889
Richterago discoidea,-43.686667,-19.084444
Richterago discoidea,-42.576944,-14.757778
Richterago discoidea,-43,-18
Richterago discoidea,-43.5653,-18.202236
Richterago discoidea,-43.785556,-19.911667
Richterago discoidea,-43.671111,-18.508333
Richterago discoidea,-43.728611,-18.129167
Richterago discoidea,-41.938278,-13.084167
Richterago discoidea,-41.318056,-12.971389
Richterago discoidea,-41.878056,-13.048611
Richterago discoidea,-46.5975,-10.547778
Richterago discoidea,-41.486111,-12.676389
Richterago discoidea,-41.3492,-12.9889
Richterago discoidea,-43.598333,-18.201361
Richterago discoidea,-41.3414,-12.9922
Richterago discoidea,-41.4847,-12.5369
Richterago discoidea,-43.72,-17.6161
Richterago discoidea,-45.3167,-13.4511
Richterago discoidea,-41.433889,-12.463889
Richterago discoidea,-43.631667,-20.147778
Richterago discoidea,-43.630278,-20.145278
Richterago discoidea,-43.8575,-20.288889
Richterago discoidea,-43.8012,-20.172
Richterago discoidea,-44.25,-22.616667
Richterago discoidea,-43.785555,-19.911667
Richterago discoidea,-43.543889,-18.159167
Richterago discoidea,-43.346667,-18.462778
Richterago discoidea,-43.801667,-19.083611
Richterago discoidea,-43.601389,-19.300833
Richterago discoidea,-40.525,-11.269722
Richterago discoidea,-44.659694,-21.588194
Richterago discoidea,-41.383333,-12.566667
Richterago discoidea,-42.933333,-16.583333
Richterago discoidea,-41.4708,-12.4722
Richterago discoidea,-41.4722,-12.45
Richterago discoidea,-42.5025,-14.6833
Richterago discoidea,-41.8603,-13.0828
Richterago discoidea,-41.4708,-12.4556
Richterago discoidea,-41.9389,-13.5197
Richterago discoidea,-41.4714,-12.4586
Richterago discoidea,-43.7131,-17.89
Richterago discoidea,-41.3464,-12.9989
Richterago discoidea,-41.3586,-12.9575
Richterago discoidea,-43.71,-18.3739
Richterago discoidea,-41.4,-13.0033
Richterago discoidea,-41.4403,-12.4597
Richterago discoidea,-41.7608,-13.1503
Richterago discoidea,-41.4681,-12.4547
Richterago discoidea,-41.3442,-12.9989
Richterago discoidea,-43.605,-20.197222
Richterago discoidea,-41.499722,-12.633333
Richterago discoidea,-41.898611,-13.259444
Richterago discoidea,-41.903889,-13.291111
Richterago discoidea,-41.44027,-12.45972
Richterago discoidea,-42.962222,-13.524722
Richterago discoidea,-41.905556,-13.289444
Richterago discoidea,-41.283333,-13.666667
Richterago discoidea,-41.183333,-13.333333
Richterago discoidea,-41.366667,-13
Richterago discoidea,-43.576944,-20.440833
Richterago discoidea,-43.64,-20.505833
Richterago discoidea,-44.947778,-21.721944
Richterago discoidea,-43.704444,-18.376667
Richterago discoidea,-44.203056,-21.119167
Richterago discoidea,-43.729444,-18.129722
Richterago discoidea,-43.599444,-19.293889
Richterago discoidea,-43.390833,-18.004167
Richterago discoidea,-43.330833,-18.2275
Richterago discoidea,-43.341944,-18.106944
Richterago discoidea,-43.335,-18.153333
Richterago discoidea,-43.3375,-18.732778
Richterago discoidea,-42.889722,-16.559444
Richterago discoidea,-43.600278,-18.249444
Richterago discoidea,-47.953333,-15.971667
Richterago discoidea,-47.916667,-15.95
Richterago discoidea,-47.509444,-14.072778
Richterago discoidea,-41.366667,-13.116667
Richterago discoidea,-43.805556,-19.911667
Richterago discoidea,-48.015,-15.904166
Richterago discoidea,-47.936666,-15.663333
Richterago discoidea,-47.993333,-15.638055
Richterago discoidea,-42.547778,-14.688056
Richterago discoidea,-42.569722,-14.5525
Richterago discoidea,-41.506944,-12.756944
Richterago discoidea,-41.505,-12.628889
Richterago discoidea,-41.505833,-12.765
Richterago discoidea,-41.839444,-13.440278
Richterago discoidea,-41.323889,-12.971389
Richterago discoidea,-41.438333,-13.024444
Richterago discoidea,-41.85,-13.326389
Richterago discoidea,-41.346944,-12.998333
Richterago discoidea,-41.348056,-13.130556
Richterago discoidea,-41.376944,-13.083611
Richterago discoidea,-41.855556,-13.322222
Richterago discoidea,-41.3,-13.05
Richterago discoidea,-41.223056,-13.495
Richterago discoidea,-41.834722,-13.595278
Richterago discoidea,-41.886389,-13.060833
Richterago discoidea,-41.831944,-13.592778
Richterago discoidea,-42.098333,-13.271111
Richterago discoidea,-41.851111,-13.328611
Richterago discoidea,-41.45,-12.6
Richterago discoidea,-41.416667,-12.583333
Richterago discoidea,-43.617667,-20.508472
Richterago discoidea,-43.718278,-20.473583
Richterago discoidea,-43.636917,-20.506556
Richterago discoidea,-43.594444,-18.206944
Richterago discoidea,-43.646389,-18.178889
Richterago discoidea,-43.598611,-18.201389
Richterago discoidea,-41.942222,-13.5175
Richterago discoidea,-43.565556,-18.223611
Richterago discoidea,-43.718333,-20.473611
Richterago discoidea,-43.636944,-20.506667
Richterago discoidea,-43.521389,-20.468333
Richterago discoidea,-43.6,-19.283333
Richterago discoidea,-41.938056,-13.084167
Richterago discoidea,-40.516667,-11.266667
Richterago discoidea,-43.638056,-20.512222
Richterago discoidea,-43.742778,-19.088889000000002
Richterago discoidea,-42.9,-16.55
Richterago discoidea,-43.721389,-18.283056
Richterago discoidea,-41.936111,-13.538889
Richterago discoidea,-47.933333,-16.05
Richterago discoidea,-43.709722,-19.038611
Richterago discoidea,-43.514722,-20.154722
Richterago discoidea,-43.884444,-20.181944
Richterago discoidea,-46.597694,-10.596778
Richterago discoidea,-43.72,-17.616111
Richterago discoidea,-41.358611,-12.9575
Richterago discoidea,-41.346389,-12.998889
Richterago discoidea,-42.576111,-14.759167
Richterago discoidea,-45.316667,-13.451111
Richterago discoidea,-41.484722,-12.536944
Richterago discoidea,-41.349167,-12.988889
Richterago discoidea,-42.541111,-14.690278
Richterago discoidea,-43.8,-19.883333
Richterago discoidea,-43.565278,-18.202222
Richterago discoidea,-43.551111,-18.371111
Richterago discoidea,-40.483333,-11.3
Richterago discoidea,-41,-13
Richterago discoidea,-42.266667,-13.753056
Richterago discoidea,-41.356111,-13.010556
Richterago discoidea,-40.516667,-11.333333
Richterago discoidea,-40.536111,-11.388611
Richterago discoidea,-41.001389,-11.635833
Richterago discoidea,-41.880278,-13.060833
Richterago discoidea,-41.15,-11.55
Richterago discoidea,-42.927778000000004,-13.271111
Richterago discoidea,-41.886389,-13.060556
Richterago discoidea,-41.45,-12.466667
Richterago discoidea,-41.472222,-12.456111
Richterago discoidea,-43.576944,-20.441028
Richterago discoidea,-43.640306,-20.506944
Richterago discoidea,-44.947889,-21.721944
Richterago discoidea,-43.704556,-18.376833
Richterago discoidea,-43.706806,-18.199722
Richterago discoidea,-41.289833,-13.681
Richterago discoidea,-46.574806,-11.581444
Richterago discoidea,-46.597806,-11.596472
Richterago discoidea,-48.011436,-15.902167
Richterago discoidea,-41.2206,-13.4219
Richterago discoidea,-41.962222,-13.524833
Richterago discoidea,-41.477833,-12.450639
Richterago discoidea,-42.89125,-16.547611
Richterago discoidea,-42.576111,-14.759
Richterago discoidea,-41.743167,-13.27775
Richterago discoidea,-47.938375,-15.974847
Richterago discoidea,-41.46725,-12.958806
Richterago discoidea,-43.599472,-19.293972
Richterago discoidea,-44.20325,-21.11925
