species,decimalLongitude,decimalLatitude
Tillandsia capillaris,-66.61,-30.82
Tillandsia capillaris,-65.89,-28.18
Tillandsia capillaris,-67.83,-29.45
Tillandsia capillaris,-72.05,-13.2
Tillandsia capillaris,-67.809189,-30.163434
Tillandsia capillaris,-64.466933,-31.236451
Tillandsia capillaris,-64.527146,-30.829963
Tillandsia capillaris,-61.932789,-38.088699
Tillandsia capillaris,-64.43038,-31.115191
Tillandsia capillaris,-64.000357,-31.234999
Tillandsia capillaris,-64.174544,-31.857108
Tillandsia capillaris,-65.445721,-23.676162
Tillandsia capillaris,-65.365981,-23.48762
Tillandsia capillaris,-68.128727,-16.514526
Tillandsia capillaris,-64.558226,-32.195447
Tillandsia capillaris,-69.684793,-15.770163
Tillandsia capillaris,-65.401959,-23.629284
Tillandsia capillaris,-65.816891,-28.459647
Tillandsia capillaris,-65.816403,-28.459998
Tillandsia capillaris,-65.642303,-28.115697
Tillandsia capillaris,-64.457859,-31.11986
Tillandsia capillaris,-64.757788,-21.546428
Tillandsia capillaris,-70.15786,-15.72344
Tillandsia capillaris,-63.744574,-35.647592
Tillandsia capillaris,-66.302788,-30.635863
Tillandsia capillaris,-63.377216,-34.121113
Tillandsia capillaris,-68.14054,-16.49702
Tillandsia capillaris,-68.144338,-16.5004
Tillandsia capillaris,-68.085797,-16.526093
Tillandsia capillaris,-66.201495,-17.351876
Tillandsia capillaris,-68.033662,-16.659213
Tillandsia capillaris,-66.26043,-17.392282
Tillandsia capillaris,-63.745,-35.651542
Tillandsia capillaris,-66.925924,-29.414572
Tillandsia capillaris,-63.765622,-35.659127
Tillandsia capillaris,-66.926809,-29.414987
Tillandsia capillaris,-66.925538,-29.413373
Tillandsia capillaris,-66.92544,-29.412959
Tillandsia capillaris,-71.947028,-15.59286
Tillandsia capillaris,-71.662319,-15.641621
Tillandsia capillaris,-77.91171,-7.802225
Tillandsia capillaris,-72.263162,-13.258392
Tillandsia capillaris,-72.265924,-13.257452
Tillandsia capillaris,-77.176395,-9.588929
Tillandsia capillaris,-68.635969,-16.351058
Tillandsia capillaris,-64.464554,-31.095213
Tillandsia capillaris,-62.699563,-32.6267
Tillandsia capillaris,-72.05,-13.4
Tillandsia capillaris,-75.1635,-15.032361
Tillandsia capillaris,-75.641667,-14.115416
Tillandsia capillaris,-68.086807,-16.549251
Tillandsia capillaris,-72.265603,-13.257433
Tillandsia capillaris,-68.094889,-16.563214
Tillandsia capillaris,-77.670528,-7.539833
Tillandsia capillaris,-77.652778,-7.813194
Tillandsia capillaris,-77.787111,-7.501639
Tillandsia capillaris,-77.999056,-6.841944
Tillandsia capillaris,-77.872569,-7.165008
Tillandsia capillaris,-77.985667,-6.839556
Tillandsia capillaris,-71.647131,-15.628719
Tillandsia capillaris,-64.42,-24.03
Tillandsia capillaris,-64.95,-22.23
Tillandsia capillaris,-64.58,-31.2
Tillandsia capillaris,-66.67,-30.83
Tillandsia capillaris,-65.26,-26.55
Tillandsia capillaris,-67.67,-28.83
Tillandsia capillaris,-67.61,-29.18
Tillandsia capillaris,-66.02,-27.48
Tillandsia capillaris,-66.55,-17.65
Tillandsia capillaris,-65.43,-25.69
Tillandsia capillaris,-65.4,-26.32
Tillandsia capillaris,-66.35,-27.53
Tillandsia capillaris,-65.23,-26.84
Tillandsia capillaris,-77.222028,-8.536667
Tillandsia capillaris,-76.964056,-9.160222
Tillandsia capillaris,-65.294,-18.24
Tillandsia capillaris,-70.15604,-15.72356
Tillandsia capillaris,-64.998288,-31.724487
Tillandsia capillaris,-68.071404,-16.55111
Tillandsia capillaris,-68.071527,-16.552805
Tillandsia capillaris,-68.067399,-16.537436
Tillandsia capillaris,-64.97895,-32.346028
Tillandsia capillaris,-63.91666,-18.65
Tillandsia capillaris,-70.691111,-16.206389
Tillandsia capillaris,-64.31666,-30.56444
Tillandsia capillaris,-64.09472,-30.12138
Tillandsia capillaris,-64.418611,-20.102778
Tillandsia capillaris,-70.724444,-16.22
Tillandsia capillaris,-72.53638,-13.55277
