species,decimalLongitude,decimalLatitude
Tillandsia virescens,-65.89,-28.18
Tillandsia virescens,-71.977255,-13.513825
Tillandsia virescens,-70.811995,-29.829461
Tillandsia virescens,-63.738236,-35.677009
Tillandsia virescens,-68.15506,-16.488108
Tillandsia virescens,-64.426991,-31.111845
Tillandsia virescens,-64.660717,-31.57555
Tillandsia virescens,-64.43038,-31.115191
Tillandsia virescens,-64.61272,-31.689592
Tillandsia virescens,-66.044287,-28.057067
Tillandsia virescens,-64.485671,-32.185395
Tillandsia virescens,-64.510702,-32.184679
Tillandsia virescens,-64.410922,-32.153046
Tillandsia virescens,-64.96929,-31.839448
Tillandsia virescens,-65.218111,-22.793329
Tillandsia virescens,-70.971641,-29.995944
Tillandsia virescens,-65.875835,-28.19356
Tillandsia virescens,-65.729317,-19.830883
Tillandsia virescens,-64.433142,-31.115531
Tillandsia virescens,-71.977253,-13.513809
Tillandsia virescens,-65.388148,-24.593918
Tillandsia virescens,-75.347447,-12.053079
Tillandsia virescens,-74.956005,-12.780829
Tillandsia virescens,-64.406335,-31.341188
Tillandsia virescens,-75.349334,-12.052964
Tillandsia virescens,-68.096485,-16.583941
Tillandsia virescens,-64.11469,-32.188041
Tillandsia virescens,-67.124411,-17.973461
Tillandsia virescens,-74.192551,-13.182523
Tillandsia virescens,-67.024167,-17.88225
Tillandsia virescens,-64.760111,-32.004324
Tillandsia virescens,-66.044727,-33.120967
Tillandsia virescens,-64.775393,-32.003659
Tillandsia virescens,-65.726228,-26.951417
Tillandsia virescens,-65.662235,-26.953888
Tillandsia virescens,-68.072347,-16.553307
Tillandsia virescens,-65.338394,-23.199142
Tillandsia virescens,-65.761436,-18.134569
Tillandsia virescens,-68.576945,-18.921394
Tillandsia virescens,-71.977567,-13.512877
Tillandsia virescens,-69.983,-20.972352
Tillandsia virescens,-64.72747,-32.688198
Tillandsia virescens,-71.87648,-15.60905
Tillandsia virescens,-71.603163,-15.629533
Tillandsia virescens,-72.031744,-13.383997
Tillandsia virescens,-71.948987,-15.602128
Tillandsia virescens,-65.336088,-23.198933
Tillandsia virescens,-65.620168,-28.47225
Tillandsia virescens,-64.532578,-31.593592
Tillandsia virescens,-71.991255,-15.617678
Tillandsia virescens,-71.845074,-13.417937
Tillandsia virescens,-74.270938,-12.936353
Tillandsia virescens,-74.27073,-12.936521
Tillandsia virescens,-70.72,-28.65
Tillandsia virescens,-69.08,-16.17
Tillandsia virescens,-69.15,-16.02
Tillandsia virescens,-64.58,-31.2
Tillandsia virescens,-65.42,-22.95
