species,decimalLongitude,decimalLatitude
Vellozia auriculata,-43,-18
Vellozia auriculata,-42.961333,-18.015833
Vellozia auriculata,-43.009167,-18.293611
Vellozia auriculata,-42.891111,-18.019444
Vellozia auriculata,-43.0093503,-18.2973787
Vellozia auriculata,-42.741111,-18.111944
Vellozia auriculata,-42.724444,-18.005556
Vellozia auriculata,-43.313333,-18.215833
Vellozia auriculata,-43.045083,-18.134694
Vellozia auriculata,-43.683333,-19.55
Vellozia auriculata,-43.35,-18.19
Vellozia auriculata,-43.13,-18.12
Vellozia auriculata,-43.35,-18.22
Vellozia auriculata,-43.32,-18.21
Vellozia auriculata,-43.28,-18.12
Vellozia auriculata,-43.13,-18.08
Vellozia auriculata,-43.06,-18.03
Vellozia auriculata,-43.05,-18.13
Vellozia auriculata,-42.96,-18.02
Vellozia auriculata,-42.88,-18.07
Vellozia auriculata,-42.7,-17.99
