species,decimalLongitude,decimalLatitude
Vriesea oligantha,-41.95,-13.533333
Vriesea oligantha,-41.85,-13.466667
Vriesea oligantha,-43.678056,-20.498889
Vriesea oligantha,-41.834722,-13.838056
Vriesea oligantha,-43.853333,-20.445
Vriesea oligantha,-43.391111,-19.016389
Vriesea oligantha,-43.377778,-18.145278
Vriesea oligantha,-43.5376,-19.2637
Vriesea oligantha,-43.95,-19.666667
Vriesea oligantha,-43.806389,-17.891667
Vriesea oligantha,-43.682778,-18.940278
Vriesea oligantha,-41.004444,-11.627778
Vriesea oligantha,-41.260833,-17.856111
Vriesea oligantha,-41.016111,-11.626944
Vriesea oligantha,-43.710278,-20.496389
Vriesea oligantha,-43.438889,-18.530278
Vriesea oligantha,-41.673333,-19.396389
Vriesea oligantha,-42.759167,-15.657222
Vriesea oligantha,-43.6921,-20.5236
Vriesea oligantha,-43.645,-19.094444
Vriesea oligantha,-42.791111,-15.141389
Vriesea oligantha,-41.899111,-13.28425
Vriesea oligantha,-41.956944,-13.522861
Vriesea oligantha,-41.941722,-13.517972
Vriesea oligantha,-41.841611,-13.436833
Vriesea oligantha,-41.0005,-11.626278
Vriesea oligantha,-41.000694,-11.627556
Vriesea oligantha,-43.555278,-19.499167
Vriesea oligantha,-43.5975,-19.095833
Vriesea oligantha,-43.683383,-18.342717
Vriesea oligantha,-41.95,-13.53
Vriesea oligantha,-41.85,-13.47
Vriesea oligantha,-41.8525,-13.861667
Vriesea oligantha,-41.9,-13.25
Vriesea oligantha,-43.95,-19.67
Vriesea oligantha,-41.66,-13.25
Vriesea oligantha,-41.811389,-13.579167
Vriesea oligantha,-43.55,-18.18
Vriesea oligantha,-43.683611,-18.358056
Vriesea oligantha,-43.55,-18.55
Vriesea oligantha,-43.583333,-19.333333
Vriesea oligantha,-43.4,-18.9
Vriesea oligantha,-43.519722,-18.180556
Vriesea oligantha,-43.745278,-19.514167
Vriesea oligantha,-43.433889,-18.530278
Vriesea oligantha,-43.610278,-19.416389
Vriesea oligantha,-43.8064,-17.8917
Vriesea oligantha,-43.3775,-18.1206
Vriesea oligantha,-43.653889,-20.503611
Vriesea oligantha,-41.834722,-13.438056
Vriesea oligantha,-41.85,-13.46667
Vriesea oligantha,-43.488528,-19.557278
Vriesea oligantha,-43.51,-19.246667
Vriesea oligantha,-42.791389,-15.136944
Vriesea oligantha,-43.6836,-18.358
Vriesea oligantha,-43.519722,-18.18055
Vriesea oligantha,-41.8114684,-13.5828799
Vriesea oligantha,-42.961389,-16.546944
Vriesea oligantha,-43,-20
Vriesea oligantha,-43,-18
Vriesea oligantha,-44,-18
Vriesea oligantha,-43.600556,-18.181944
Vriesea oligantha,-43.291392,-19.323539
Vriesea oligantha,-43.3775,-18.120556
Vriesea oligantha,-43.450611,-18.461806
Vriesea oligantha,-43.58,-19.33
Vriesea oligantha,-43.886389,-20.280556
Vriesea oligantha,-43.632778,-20.147222
Vriesea oligantha,-43.751111,-19.9475
Vriesea oligantha,-43.767222,-18.962778
Vriesea oligantha,-42.741111,-18.111944
Vriesea oligantha,-43.032778,-16.850556
Vriesea oligantha,-43.371667,-18.130833
Vriesea oligantha,-43.464167,-18.461389
Vriesea oligantha,-43.7975,-18.270556
Vriesea oligantha,-43.663056,-21.6425
Vriesea oligantha,-43.605,-20.197222
Vriesea oligantha,-43.848611,-20.228611
Vriesea oligantha,-41.752222,-13.449167
Vriesea oligantha,-41.8525,-13.328333
Vriesea oligantha,-43.751218,-18.947649
Vriesea oligantha,-41.116667,-11.566667
Vriesea oligantha,-43.5775,-20.018333
Vriesea oligantha,-43.600278,-20.052222
Vriesea oligantha,-43.605278,-20.192222
Vriesea oligantha,-43.346833,-17.039806
Vriesea oligantha,-41.132583,-11.566944
Vriesea oligantha,-43.433056,-18.904444
Vriesea oligantha,-40.51,-11.17
Vriesea oligantha,-40.54,-11.39
Vriesea oligantha,-41,-11.63
Vriesea oligantha,-43.82,-18.3
Vriesea oligantha,-41.34,-12.99
Vriesea oligantha,-41.96,-13.52
Vriesea oligantha,-43.55,-18.35
Vriesea oligantha,-43.37,-18.15
Vriesea oligantha,-41.9,-13.28
Vriesea oligantha,-42.54,-14.59
Vriesea oligantha,-42.89,-16.54
Vriesea oligantha,-43.54,-18.18
Vriesea oligantha,-43.64,-20.51
Vriesea oligantha,-43.51,-19.25
