species,decimalLongitude,decimalLatitude
Cedrela odorata,-100.431305,25.666019
Cedrela odorata,-100.692307,18.598926
Cedrela odorata,-100.712643,18.559465
Cedrela odorata,-100.8575,20.021111
Cedrela odorata,-100.913832,18.651268
Cedrela odorata,-100.929537,19.843783
Cedrela odorata,-101.096045,19.076588
Cedrela odorata,-101.105569,19.616197
Cedrela odorata,-101.15,19.69
Cedrela odorata,-101.171667,19.685556
Cedrela odorata,-101.172019,19.686193
Cedrela odorata,-101.190556,19.664444
Cedrela odorata,-101.193333,19.683333
Cedrela odorata,-101.27611,19.64694
Cedrela odorata,-101.28,19.65
Cedrela odorata,-101.303068,19.687223
Cedrela odorata,-101.35,19.55
Cedrela odorata,-101.35167,19.55444
Cedrela odorata,-101.36123,21.042932
Cedrela odorata,-101.6,19.678333
Cedrela odorata,-101.611389,19.678611
Cedrela odorata,-101.676025,21.248328
Cedrela odorata,-101.691224,19.532749
Cedrela odorata,-101.7,19.526944
Cedrela odorata,-101.758333,20.325
Cedrela odorata,-102.345278,19.06
Cedrela odorata,-102.345653,19.060666
Cedrela odorata,-102.650336,20.488599
Cedrela odorata,-103.21013,20.613916
Cedrela odorata,-103.257884,20.650603
Cedrela odorata,-103.287577,18.369175
Cedrela odorata,-103.340822,20.62602
Cedrela odorata,-103.382871,20.647765
Cedrela odorata,-103.416667,20.283333
Cedrela odorata,-103.423278,18.692833
Cedrela odorata,-103.424157,20.661009
Cedrela odorata,-103.634581,19.209173
Cedrela odorata,-103.655,19.854444
Cedrela odorata,-103.7176128,19.8828826
Cedrela odorata,-103.725366,20.693568
Cedrela odorata,-103.726,19.394613
Cedrela odorata,-103.75,19.933333
Cedrela odorata,-103.768636,19.290951
Cedrela odorata,-103.771004,19.21062
Cedrela odorata,-103.785106,19.391169
Cedrela odorata,-103.949722,19.444167
Cedrela odorata,-103.975,19.541667
Cedrela odorata,-104.006007,19.36539
Cedrela odorata,-104.109052,20.395874
Cedrela odorata,-104.225278,19.578056
Cedrela odorata,-104.258333,19.541667
Cedrela odorata,-104.276944,19.578056
Cedrela odorata,-104.289722,19.271944
Cedrela odorata,-104.305556,19.304722
Cedrela odorata,-104.341667,19.641667
Cedrela odorata,-104.412235,19.593809
Cedrela odorata,-104.41333,19.58778
Cedrela odorata,-104.413333,19.587778
Cedrela odorata,-104.4233,19.6097
Cedrela odorata,-104.538042,19.178072
Cedrela odorata,-104.539917,19.902778
Cedrela odorata,-104.606111,20.093333
Cedrela odorata,-104.666111,19.217222
Cedrela odorata,-104.666534,19.217875
Cedrela odorata,-104.678889,19.201111
Cedrela odorata,-104.7106942,19.2388643
Cedrela odorata,-104.728604,19.267537
Cedrela odorata,-104.763796,19.396671
Cedrela odorata,-104.883611,20.710833
Cedrela odorata,-104.98,19.39
Cedrela odorata,-104.98333,19.39167
Cedrela odorata,-104.983333,19.391667
Cedrela odorata,-105.028082,21.560879
Cedrela odorata,-105.03175,19.45683
Cedrela odorata,-105.05,19.5
Cedrela odorata,-105.058094,21.425401
Cedrela odorata,-105.087602,20.695615
Cedrela odorata,-105.104325,21.050401
Cedrela odorata,-105.208333,22.408333
Cedrela odorata,-105.22,21.95
Cedrela odorata,-105.30986,20.656136
Cedrela odorata,-105.35,19.84
Cedrela odorata,-105.36,22.49
Cedrela odorata,-105.424534,20.802333
Cedrela odorata,-105.53567,21.628161
Cedrela odorata,-105.736392,22.976528
Cedrela odorata,-105.833841,22.745611
Cedrela odorata,-105.83972,23.49667
Cedrela odorata,-105.854555,23.584306
Cedrela odorata,-105.883253,22.699806
Cedrela odorata,-105.88333,23.5
Cedrela odorata,-105.883333,23.5
Cedrela odorata,-105.887707,22.629379
Cedrela odorata,-105.916954,22.625746
Cedrela odorata,-105.94338,22.694103
Cedrela odorata,-105.982784,22.783395
Cedrela odorata,-105.999412,22.964561
Cedrela odorata,-106.214502,23.632465
Cedrela odorata,-106.25,23.27
Cedrela odorata,-106.281686,23.326325
Cedrela odorata,-106.365068,21.260764000000002
Cedrela odorata,-106.37,23.25
Cedrela odorata,-106.42,23.23
Cedrela odorata,-106.425278,23.201667
Cedrela odorata,-106.45,21.45
Cedrela odorata,-106.520785,23.214387
Cedrela odorata,-106.610907,24.420227
Cedrela odorata,-106.619646,24.413868
Cedrela odorata,-106.625244,24.571455
Cedrela odorata,-106.633728,24.424298
Cedrela odorata,-106.650968,24.573276
Cedrela odorata,-106.658979,24.438252
Cedrela odorata,-106.701115,24.481004
Cedrela odorata,-106.708444,24.501988
Cedrela odorata,-106.72572,24.479484
Cedrela odorata,-106.725741,24.469013
Cedrela odorata,-106.880555,24.939167
Cedrela odorata,-106.880556,24.939167
Cedrela odorata,-106.88056,24.93917
Cedrela odorata,-106.958333,24.975
Cedrela odorata,-107.017,24.375
Cedrela odorata,-107.201944,25.116389
Cedrela odorata,-107.386111,24.811111
Cedrela odorata,-107.408333,24.808333
Cedrela odorata,-107.4625,25.516667
Cedrela odorata,-107.889989,25.854863
Cedrela odorata,-108.36192,26.165603
Cedrela odorata,-108.392036,26.476852
Cedrela odorata,-109.970571,27.504767
Cedrela odorata,-110.930667,18.757417
Cedrela odorata,-110.949472,18.726833
Cedrela odorata,-110.954167,18.758333
Cedrela odorata,-35.112778,-7.410278
Cedrela odorata,-35.204722,-7.735556
Cedrela odorata,-35.204847,-7.735578
Cedrela odorata,-35.922222,-8.238333
Cedrela odorata,-36.009919,-7.386532
Cedrela odorata,-36.353611,-8.223333
Cedrela odorata,-36.389167,-8.201389
Cedrela odorata,-36.403583,-8.200361
Cedrela odorata,-36.41667,-9.25
Cedrela odorata,-36.593666,-8.375638
Cedrela odorata,-36.593667,-8.375639
Cedrela odorata,-36.896111,-8.587083
Cedrela odorata,-36.984389,-8.449942
Cedrela odorata,-37.001667,-8.434167
Cedrela odorata,-37.183586,-8.381781
Cedrela odorata,-37.183611,-8.381667
Cedrela odorata,-37.253056,-10.410833
Cedrela odorata,-37.278056,-9.917222
Cedrela odorata,-37.321944,-9.252778
Cedrela odorata,-37.382778,-7.251667
Cedrela odorata,-37.409722,-10.036111
Cedrela odorata,-37.409756,-10.036106
Cedrela odorata,-37.425,-10.685278
Cedrela odorata,-37.43,-7.19
Cedrela odorata,-37.431389,-7.186111
Cedrela odorata,-37.43139,-7.18611
Cedrela odorata,-37.570833,-9.026389
Cedrela odorata,-37.75,-6.2
Cedrela odorata,-38.071667,-7.500278
Cedrela odorata,-38.110556,-10.421111
Cedrela odorata,-38.121194,-7.833972
Cedrela odorata,-38.183333,-10.708333
Cedrela odorata,-38.183497,-10.728114
Cedrela odorata,-38.185,-10.703056
Cedrela odorata,-38.223889,-7.006389
Cedrela odorata,-38.25,10.291667
Cedrela odorata,-38.309167,-11.189722
Cedrela odorata,-38.472254,-3.641843
Cedrela odorata,-38.542958,-3.7206118
Cedrela odorata,-38.543056,-3.717222
Cedrela odorata,-38.566152,-3.779336
Cedrela odorata,-38.576111,-3.741667
Cedrela odorata,-38.576183,-3.741875
Cedrela odorata,-38.579444,-7.407778
Cedrela odorata,-38.579472,-7.407833
Cedrela odorata,-38.653,-7.232666
Cedrela odorata,-38.653,-7.232667
Cedrela odorata,-38.716667,-10.65
Cedrela odorata,-38.755222,-8.44425
Cedrela odorata,-38.755278,-8.444167
Cedrela odorata,-38.755278,-8.760833
Cedrela odorata,-38.928302,-3.523973
Cedrela odorata,-39,-10.5
Cedrela odorata,-39,-14.788889
Cedrela odorata,-39.010556,-4.285278
Cedrela odorata,-39.04,-14.78
Cedrela odorata,-39.044444,-14.855
Cedrela odorata,-39.06925,-7.449972
Cedrela odorata,-39.083056,-10.922222
Cedrela odorata,-39.083333,-14.416667
Cedrela odorata,-39.1,-12.666667
Cedrela odorata,-39.100361,-7.074861
Cedrela odorata,-39.133333,-16.333333
Cedrela odorata,-39.133333,-16.383333
Cedrela odorata,-39.166667,-14.166667
Cedrela odorata,-39.166667,-14.8
Cedrela odorata,-39.17,-14.8
Cedrela odorata,-39.210621,-7.235365
Cedrela odorata,-39.239444,-13.319722
Cedrela odorata,-39.240278000000004,-14.939722
Cedrela odorata,-39.25,-8.722222
Cedrela odorata,-39.300611,-7.300611
Cedrela odorata,-39.372984,-7.393963
Cedrela odorata,-39.516111,-14.665833
Cedrela odorata,-39.536111,-15.160278
Cedrela odorata,-39.63,-14.7
Cedrela odorata,-39.691111,-4.56
Cedrela odorata,-39.691111,-4.560278
Cedrela odorata,-39.691236,-4.560236
Cedrela odorata,-39.703056,-4.745
Cedrela odorata,-40.105556,-6.395833
Cedrela odorata,-40.144167,-18.369722
Cedrela odorata,-40.181667,-6.666111
Cedrela odorata,-40.181806,-6.666278
Cedrela odorata,-40.181845,-6.666401
Cedrela odorata,-40.181944,-6.666389
Cedrela odorata,-40.184278,-8.151
Cedrela odorata,-40.433333,-18.75
Cedrela odorata,-40.443889,-18.776944
Cedrela odorata,-40.45,-18.75
Cedrela odorata,-40.533333,-19.866667
Cedrela odorata,-40.553056,-19.9075
Cedrela odorata,-40.6,-12.65
Cedrela odorata,-40.814531,-5.087558
Cedrela odorata,-40.820278,-19.552222
Cedrela odorata,-40.834891,-5.130059
Cedrela odorata,-40.916136,-5.017384
Cedrela odorata,-41.05,-4.666667
Cedrela odorata,-41.209722,-21.340278
Cedrela odorata,-41.276111,-12.719444
Cedrela odorata,-41.328806,-20.976194
Cedrela odorata,-41.331389,-21.331389
Cedrela odorata,-41.448056,-21.797222
Cedrela odorata,-41.553889,-21.553889
Cedrela odorata,-41.820833,-20.497222
Cedrela odorata,-41.919166,-21.878611
Cedrela odorata,-41.919167,-21.878611
Cedrela odorata,-41.919167,-21.928611
Cedrela odorata,-41.919722,-21.877778
Cedrela odorata,-42.05,-22
